Date/Time,Hourly Space Cooling load (W),Hourly Space Heating load (W),Hourly DHW load (W)
 01/01  01:00:00,12953361.019367553,17605785.410488732,497572.79241055035
 01/01  02:00:00,14760095.993460294,17514344.30702105,780735.7375507647
 01/01  03:00:00,14280311.08703277,18065023.190120354,1026986.2761744596
 01/01  04:00:00,13799315.529419411,17560654.677958746,626475.6080708288
 01/01  05:00:00,13158904.647069441,18315840.39342705,1181606.8090515595
 01/01  06:00:00,9307146.04364846,19082571.905876096,1611164.8021473777
 01/01  07:00:00,7451809.016138134,19204041.777219735,3115050.2848622752
 01/01  08:00:00,8643736.692681896,18647546.75987417,3731662.4645579415
 01/01  09:00:00,9469227.962825095,16122977.859805388,3865046.2659042305
 01/01  10:00:00,13993553.685950628,13376850.138515325,3150155.784198942
 01/01  11:00:00,16396593.19960895,11791424.16108495,3850180.3809696822
 01/01  12:00:00,16914858.530538935,11190972.390145395,2974087.531378554
 01/01  13:00:00,17714526.248773552,10701237.717788503,2509954.6794687985
 01/01  14:00:00,18263637.56094985,10344541.159242183,2889937.148596295
 01/01  15:00:00,19107516.24320828,9864231.94129836,2269828.715819366
 01/01  16:00:00,19036709.364172734,9983041.047853217,2814972.7720971056
 01/01  17:00:00,17869417.269151125,11901362.999861397,2427723.4473227104
 01/01  18:00:00,17228440.08885234,12731518.231904928,3559034.9308236423
 01/01  19:00:00,16293636.289454548,13740880.372489529,3150879.552361297
 01/01  20:00:00,15366860.043945123,14511267.269537479,2950309.9511294207
 01/01  21:00:00,15381519.319027849,14672452.768120416,3301313.586849688
 01/01  22:00:00,15186246.593784466,15287485.26965227,2467908.901903932
 01/01  23:00:00,14127491.829250561,16388774.72368822,1949110.4400755616
 01/01  24:00:00,12938848.441260988,17102545.55366931,1606162.3936224652
 01/02  01:00:00,11670801.065195149,17378170.32923917,1312996.6693817354
 01/02  02:00:00,10097713.243350826,18069715.023450717,568589.2861656003
 01/02  03:00:00,7168914.010478183,19257652.504431117,1168418.9540269137
