Date/Time,Space Cooling load [W/m^2],Space Heating load [W/m^2],DHW load [W/m^2]
 01/01  01:00:00,249942.8599912369,1641582.254631725,42764.1650000382
 01/01  02:00:00,268219.2439285548,1653532.402553439,102340.27066195449
 01/01  03:00:00,255798.1214207317,1730130.948057178,155763.48295665358
 01/01  04:00:00,255446.7822058969,1675510.9736384996,68878.18048914496
 01/01  05:00:00,240265.1123078906,1750527.043983057,190483.87953050373
 01/01  06:00:00,223265.8958072741,1849108.8510723948,286248.66412258055
 01/01  07:00:00,223370.08444428735,1853099.2180968868,618934.3296426389
 01/01  08:00:00,228376.20586668348,1780554.7253325288,757612.5369514184
 01/01  09:00:00,237669.5544361696,1544486.0151260213,766349.6697799007
 01/01  10:00:00,285360.96202050196,1240282.9535971459,581728.1972307051
 01/01  11:00:00,331405.3446785063,1046396.7808269201,704992.1703747605
 01/01  12:00:00,358800.0147786007,967718.9821870247,513073.21364329825
 01/01  13:00:00,396634.7841982062,924106.5782667535,408694.0200410027
 01/01  14:00:00,422158.88936809194,891331.3661290205,491682.99711862375
 01/01  15:00:00,453763.4132644129,838673.7371561625,355391.4918594914
 01/01  16:00:00,433923.3410001504,838568.9745723514,473134.97061609436
 01/01  17:00:00,383616.2833107191,997275.1935346491,389412.53546228155
 01/01  18:00:00,351410.64256527135,1072906.6574807896,661845.1687476122
 01/01  19:00:00,312712.291721573,1169948.2711740574,624743.6872469318
 01/01  20:00:00,291860.96027935157,1242912.511452023,583493.2236584048
 01/01  21:00:00,291087.4319419973,1259946.6406461229,658313.9714094829
 01/01  22:00:00,277281.54069178033,1319955.7265577908,479515.96956905926
 01/01  23:00:00,250132.13319135224,1475509.7637222868,369533.90059043
 01/01  24:00:00,237883.1758701155,1573873.3543675928,286688.65901551343
 01/02  01:00:00,232628.4424697033,1636124.6844923727,218665.1743794311
 01/02  02:00:00,227417.5453926863,1729786.0041722117,55510.37570410715
 01/02  03:00:00,212205.58988228996,1850114.4384068504,185716.35646172034
 01/02  04:00:00,209246.58770829937,1854513.8440604752,55546.12608256043
 01/02  05:00:00,207562.42687631884,1867279.278288981,87036.38787556977
 01/02  06:00:00,208624.43269562538,1930616.5862716278,273384.67592183436
 01/02  07:00:00,201494.70707502792,2592351.2622058103,717408.1091520339
 01/02  08:00:00,200438.68829148306,2763910.2560099275,804848.6380570919
 01/02  09:00:00,229664.72548980248,2545918.6797429365,828520.5047919159
 01/02  10:00:00,504510.94443570677,2259134.281328101,688275.9471872246
 01/02  11:00:00,559751.1292022462,1957781.0091544231,699621.0938938842
 01/02  12:00:00,610299.5939454258,1673262.5452537646,641190.7829787566
 01/02  13:00:00,662271.4522020018,1463175.3966926343,617254.6017809319
 01/02  14:00:00,667579.580946627,1390923.8710249406,571979.7852323874
 01/02  15:00:00,683768.1841026864,1347451.6181929458,476898.7008968789
 01/02  16:00:00,714428.8492620696,1281382.98261096,513464.6529615015
 01/02  17:00:00,718583.9255853553,1350094.1974337818,489433.68145145633
 01/02  18:00:00,684266.501197223,1478544.185676333,589221.8036874142
 01/02  19:00:00,349865.35381693515,1158096.6355739592,733504.3003742868
 01/02  20:00:00,335591.0839858904,1185333.5325891357,605510.8896055742
 01/02  21:00:00,307091.87905179785,1230215.2540518534,631727.5184616308
 01/02  22:00:00,301962.03266907466,1052222.57551737,453851.4027406831
 01/02  23:00:00,291847.528245097,1088482.7866905339,464362.93572727055
 01/02  24:00:00,281851.01458769495,1262496.2977439524,271392.08520479634
 01/03  01:00:00,271613.9215259899,1387532.118360427,218846.86579751896
 01/03  02:00:00,266817.5743708793,1469014.4757914492,55592.12085462663
 01/03  03:00:00,260273.05077984396,1525520.1562992646,132134.80873134625
 01/03  04:00:00,261924.04685411046,1526274.4603351802,109161.83910826324
 01/03  05:00:00,267724.13748566515,1520397.2388179507,88199.9919395549
 01/03  06:00:00,271988.34018726123,1566459.044475158,256590.5160283798
 01/03  07:00:00,277618.0986916872,1708168.6864706005,741371.2603351226
 01/03  08:00:00,276522.09642106923,1713616.8132250335,796882.7719477372
 01/03  09:00:00,286248.4246315447,1514059.6116144217,812123.2781575588
 01/03  10:00:00,626581.9920503602,1382128.697357647,721067.1770858434
 01/03  11:00:00,771882.5981863992,1099947.7492676328,682344.0280212632
 01/03  12:00:00,876401.8753212185,918656.7380737629,642335.1970740185
 01/03  13:00:00,890489.4989548016,890314.1358143431,617367.2018367394
 01/03  14:00:00,866119.7226845425,887630.5998318054,514693.88736972533
 01/03  15:00:00,885265.0147595142,854499.6688073715,534335.6204740022
 01/03  16:00:00,911621.7216042643,851049.676856789,479901.10563293815
 01/03  17:00:00,851268.6909539225,953793.1349465596,539071.2414268972
 01/03  18:00:00,824507.0710427281,1052042.2340174764,580928.0149239111
 01/03  19:00:00,473539.7176218567,783116.3343921015,725073.7387294
 01/03  20:00:00,464453.669456551,808810.2208358727,611170.7790664706
 01/03  21:00:00,414331.47903652093,820034.6554342705,572872.9920781642
 01/03  22:00:00,423970.4849786792,753968.2538004415,507601.76264388656
 01/03  23:00:00,412194.27071313304,816043.7565999517,480095.0408119977
 01/03  24:00:00,415488.2836237107,922105.7806224977,279283.42064762657
 01/04  01:00:00,411535.19081303023,974536.8029259637,164900.58822582898
 01/04  02:00:00,401454.17225353915,1046876.6334339505,101642.85558245817
 01/04  03:00:00,401484.2103695603,1091221.0207291867,70899.91704730723
 01/04  04:00:00,401443.0457493492,1106876.3923651571,162767.60678295902
 01/04  05:00:00,401373.0752326493,1089135.931497594,65168.864794765745
 01/04  06:00:00,396371.0536628293,1163205.8779547794,287959.88181235857
 01/04  07:00:00,357976.41599117155,1260587.5230732707,750146.3115528907
 01/04  08:00:00,359587.30885377625,1237766.3262963789,780910.4336369904
 01/04  09:00:00,402451.7810026761,1043410.0830585127,734444.0944305814
 01/04  10:00:00,776541.7110542312,1136694.2041175158,797370.2385723433
 01/04  11:00:00,841933.3474719106,1080869.3821104418,690652.3102868057
 01/04  12:00:00,879065.195347287,1018568.7315334849,628739.9995584477
 01/04  13:00:00,880665.8650325165,1010517.1223200212,614606.7926128742
 01/04  14:00:00,874483.8526746421,1017325.7354109762,515525.0764805512
 01/04  15:00:00,871686.314900231,1047868.790862441,534951.1592246844
 01/04  16:00:00,911160.7535530032,1041095.19723941,479293.30871954013
 01/04  17:00:00,902603.7732573228,1090085.2907961751,539210.918885148
 01/04  18:00:00,901001.2498592756,1139211.2606533577,580940.8940806817
 01/04  19:00:00,548803.3414730948,813585.316070958,726101.3048382552
 01/04  20:00:00,548721.665233416,813458.7726234234,626961.0019279647
 01/04  21:00:00,479957.8418048716,825061.7688270885,564963.4069949222
 01/04  22:00:00,481647.3282974589,768032.4929064934,499230.4624149572
 01/04  23:00:00,479226.4153555617,794890.3056949201,480156.10952268954
 01/04  24:00:00,478085.5002884416,893961.036661659,286926.67300519557
 01/05  01:00:00,477400.1417419917,934982.7474878187,88332.94481746496
 01/05  02:00:00,477355.781027797,936649.2611881933,170661.95457425603
 01/05  03:00:00,477265.0416565545,954389.2069424223,70910.26658968789
