Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,245515387.65196867,479754243.47684499 
 01/01  02:00:00,245515387.65196867,479754243.47684499 
 01/01  03:00:00,245515387.65196867,479754243.47684499 
 01/01  04:00:00,245515387.65196867,479754243.47684499 
 01/01  05:00:00,245515387.65196867,479754243.47684499 
 01/01  06:00:00,245515387.65196867,479754243.47684499 
 01/01  07:00:00,245515387.65196867,479754243.47684499 
 01/01  08:00:00,244742391.2509647,479754243.47684499 
 01/01  09:00:00,348055696.5331944,691307517.4197934 
 01/01  10:00:00,347974906.7998917,691307517.4197934 
 01/01  11:00:00,347969314.4326915,691307517.4197934 
 01/01  12:00:00,347935520.5566104,691307517.4197934 
 01/01  13:00:00,348161076.6805344,691307517.4197934 
 01/01  14:00:00,348645982.80446359,691307517.4197934 
 01/01  15:00:00,349001213.92839017,691307517.4197934 
 01/01  16:00:00,349473457.83965048,691307517.4197934 
 01/01  17:00:00,245225923.73792733,479754243.47684499 
 01/01  18:00:00,245515387.65196867,479754243.47684499 
 01/01  19:00:00,245515387.65196867,479754243.47684499 
 01/01  20:00:00,245515387.65196867,479754243.47684499 
 01/01  21:00:00,245515387.65196867,479754243.47684499 
 01/01  22:00:00,245515387.65196867,479754243.47684499 
 01/01  23:00:00,245515387.65196867,479754243.47684499 
 01/01  24:00:00,245515387.65196867,479754243.47684499 
 01/02  01:00:00,263820706.4686827,530029939.0677935 
 01/02  02:00:00,263820706.4686827,530029939.0677935 
 01/02  03:00:00,263820706.4686827,530029939.0677935 
 01/02  04:00:00,263820706.4686827,530029939.0677935 
 01/02  05:00:00,263820706.4686827,530029939.0677935 
 01/02  06:00:00,263820706.4686827,530029939.0677935 
 01/02  07:00:00,263820706.4686827,530029939.0677935 
 01/02  08:00:00,394947217.5775492,963413257.5306101 
 01/02  09:00:00,700132098.1618753,1236853616.8250707 
 01/02  10:00:00,695911717.7786328,1236853616.8250707 
 01/02  11:00:00,695658623.2173443,1236853616.8250707 
 01/02  12:00:00,695253096.7043707,1236853616.8250707 
 01/02  13:00:00,695253096.7043707,1236853616.8250707 
 01/02  14:00:00,695181020.1914036,1236853616.8250707 
 01/02  15:00:00,696635856.0234999,1236853616.8250707 
 01/02  16:00:00,698641309.9505795,1236853616.8250707 
 01/02  17:00:00,327501515.0729652,826693077.8833808 
