Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,77562138.50046642,108166982.65348657 
 01/01  02:00:00,77562138.50046642,108166982.65348657 
 01/01  03:00:00,47334345.208020608,97647043.26531492 
 01/01  04:00:00,47334345.208020608,97647043.26531492 
 01/01  05:00:00,47334345.208020608,97647043.26531492 
 01/01  06:00:00,47334345.208020608,97647043.26531492 
 01/01  07:00:00,110365241.94264393,182460782.47468654 
 01/01  08:00:00,127255318.21332236,263843605.53365819 
 01/01  09:00:00,141922449.08188246,310497290.2728582 
 01/01  10:00:00,80940347.02046727,253323666.14548657 
 01/01  11:00:00,60360362.9572251,171679717.85188655 
 01/01  12:00:00,58372330.87311192,171679717.85188655 
 01/01  13:00:00,58372330.87311192,171679717.85188655 
 01/01  14:00:00,41648479.20225607,161159778.46371494 
 01/01  15:00:00,41699315.02115439,161159778.46371494 
 01/01  16:00:00,42106001.57234094,161159778.46371494 
 01/01  17:00:00,44415786.25703325,174489402.67491494 
 01/01  18:00:00,51024694.34526559,206147260.1765149 
 01/01  19:00:00,205264087.14182193,251036702.55222983 
 01/01  20:00:00,262439363.3824958,268744175.2757731 
 01/01  21:00:00,281186070.47017958,305923363.0863448 
 01/01  22:00:00,243692656.2948121,296546905.49480149 
 01/01  23:00:00,205264087.14182193,227709860.18262977 
 01/01  24:00:00,110365241.94264393,178344529.95748655 
 01/02  01:00:00,55535121.068565,97647043.26531492 
 01/02  02:00:00,42881457.18050541,92387073.57122909 
 01/02  03:00:00,28587638.12033694,87127103.8771433 
 01/02  04:00:00,28587638.12033694,87127103.8771433 
 01/02  05:00:00,28587638.12033694,87127103.8771433 
 01/02  06:00:00,55535121.068565,97647043.26531492 
 01/02  07:00:00,132392259.37454543,246299218.7076582 
 01/02  08:00:00,165897299.34590606,321017229.6610299 
 01/02  09:00:00,125523089.78009649,232185748.03205819 
 01/02  10:00:00,124300837.70723401,232185748.03205819 
 01/02  11:00:00,50010405.03768399,164753545.13140077 
 01/02  12:00:00,49946860.26406109,164753545.13140077 
 01/02  13:00:00,50010405.03768399,164753545.13140077 
 01/02  14:00:00,50010405.03768399,164753545.13140077 
 01/02  15:00:00,50073949.81130689,164753545.13140077 
 01/02  16:00:00,50518763.22666717,164753545.13140077 
 01/02  17:00:00,56290888.65267165,176416966.31620074 
 01/02  18:00:00,58347853.923971328,224736854.08180068 
 01/02  19:00:00,201048621.81998138,261556641.94040147 
 01/02  20:00:00,266424673.92119966,279264114.6639447 
 01/02  21:00:00,299932777.5578632,311183332.7804306 
 01/02  22:00:00,266424673.92119966,317586784.2711447 
 01/02  23:00:00,201048621.81998138,238229799.57080145 
 01/02  24:00:00,98884155.73788181,178344529.95748655 
 01/03  01:00:00,55535121.068565,97647043.26531492 
 01/03  02:00:00,42881457.18050541,92387073.57122909 
 01/03  03:00:00,28587638.12033694,87127103.8771433 
 01/03  04:00:00,28587638.12033694,87127103.8771433 
 01/03  05:00:00,28587638.12033694,87127103.8771433 
 01/03  06:00:00,55535121.068565,97647043.26531492 
 01/03  07:00:00,132392259.37454543,246299218.7076582 
 01/03  08:00:00,166128871.38349084,321017229.6610299 
 01/03  09:00:00,125401140.0774716,232185748.03205819 
 01/03  10:00:00,124707524.25842057,232185748.03205819 
 01/03  11:00:00,50010405.03768399,164753545.13140077 
 01/03  12:00:00,50010405.03768399,164753545.13140077 
 01/03  13:00:00,50010405.03768399,164753545.13140077 
 01/03  14:00:00,50010405.03768399,164753545.13140077 
 01/03  15:00:00,50010405.03768399,164753545.13140077 
 01/03  16:00:00,50391673.67942137,164753545.13140077 
 01/03  17:00:00,56693218.268217,176416966.31620074 
 01/03  18:00:00,58347853.923971328,224736854.08180068 
 01/03  19:00:00,201048621.81998138,261556641.94040147 
 01/03  20:00:00,266424673.92119966,279264114.6639447 
 01/03  21:00:00,299932777.5578632,311183332.7804306 
 01/03  22:00:00,266424673.92119966,317586784.2711447 
 01/03  23:00:00,201048621.81998138,238229799.57080145 
 01/03  24:00:00,98884155.73788181,178344529.95748655 
 01/04  01:00:00,55535121.068565,97647043.26531492 
 01/04  02:00:00,42881457.18050541,92387073.57122909 
 01/04  03:00:00,28587638.12033694,87127103.8771433 
 01/04  04:00:00,28587638.12033694,87127103.8771433 
 01/04  05:00:00,28587638.12033694,87127103.8771433 
 01/04  06:00:00,55535121.068565,97647043.26531492 
 01/04  07:00:00,132392259.37454543,246299218.7076582 
 01/04  08:00:00,167469956.48846884,321017229.6610299 
 01/04  09:00:00,130546871.96770954,232185748.03205819 
 01/04  10:00:00,129187074.61586264,232185748.03205819 
 01/04  11:00:00,51392624.100672397,164753545.13140077 
 01/04  12:00:00,50757362.39560786,164753545.13140077 
 01/04  13:00:00,50705121.15043836,164753545.13140077 
 01/04  14:00:00,50897125.73337132,164753545.13140077 
 01/04  15:00:00,51456168.874295298,164753545.13140077 
 01/04  16:00:00,53302892.064387697,164753545.13140077 
 01/04  17:00:00,57212693.95448913,176416966.31620074 
 01/04  18:00:00,58347853.923971328,224736854.08180068 
 01/04  19:00:00,201048621.81998138,261556641.94040147 
 01/04  20:00:00,266424673.92119966,279264114.6639447 
 01/04  21:00:00,299932777.5578632,311183332.7804306 
 01/04  22:00:00,266424673.92119966,317586784.2711447 
 01/04  23:00:00,201048621.81998138,238229799.57080145 
 01/04  24:00:00,98884155.73788181,178344529.95748655 
 01/05  01:00:00,55535121.068565,97647043.26531492 
 01/05  02:00:00,42881457.18050541,92387073.57122909 
 01/05  03:00:00,28587638.12033694,87127103.8771433 
