Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/01  01:00:00,60162845.32900496,60162845.32900492,63689404.03943722 
 01/01  02:00:00,65098846.036039728,65098846.03603968,69179900.96064066 
 01/01  03:00:00,70359000.36471738,70359000.36471743,74182078.45811446 
 01/01  04:00:00,59191985.86162501,59191985.86162496,67936774.48005276 
 01/01  05:00:00,79478119.8752358,79478119.87523583,72651790.85523685 
 01/01  06:00:00,105469831.70825219,105469831.70825225,79407567.94030728 
 01/01  07:00:00,162183866.44821943,162183866.4482197,79614919.13776084 
 01/01  08:00:00,182983343.0678641,182983343.06786419,73536536.0250078 
 01/01  09:00:00,172930639.12343557,172930639.1234355,61625050.72247146 
 01/01  10:00:00,139530408.3878093,139530408.38780938,36512113.01626033 
 01/01  11:00:00,141941902.23506455,141941902.2350647,23951537.340260496 
 01/01  12:00:00,121460886.59395835,121460886.5939586,21282875.30429554 
 01/01  13:00:00,109980751.51480904,109980751.51480916,18639391.525935785 
 01/01  14:00:00,117768961.37041348,117768961.37041383,16527657.971847678 
 01/01  15:00:00,101985734.08136225,101985734.08136224,13196106.490125705 
 01/01  16:00:00,119175916.35771396,119175916.35771422,13404402.67309413 
 01/01  17:00:00,135265827.84301255,135265827.8430129,14766248.410205557 
 01/01  18:00:00,200921088.88968859,200921088.88968856,15637174.241955014 
 01/01  19:00:00,204651308.62948058,204651308.6294806,21536312.464926676 
 01/01  20:00:00,193415913.2080659,193415913.20806594,22919394.921649685 
 01/01  21:00:00,199509503.2365021,199509503.2365018,24218583.965328929 
 01/01  22:00:00,162774644.78528748,162774644.7852877,29547842.16419356 
 01/01  23:00:00,128002341.58979789,128002341.58979818,45315511.985291827 
 01/01  24:00:00,100352689.2985114,100352689.29851139,54100623.09251385 
 01/02  01:00:00,80068810.57630468,80068810.57630474,61864501.33436197 
 01/02  02:00:00,60053026.28199577,60053026.28199573,71434643.26874067 
 01/02  03:00:00,74573496.87403235,74573496.8740323,81732006.93842122 
 01/02  04:00:00,59030894.14988526,59030894.149885218,80966415.56373677 
 01/02  05:00:00,68346961.38509013,68346961.38509007,79270994.72467564 
 01/02  06:00:00,103650551.6243354,103650551.62433546,77938478.6810335 
 01/02  07:00:00,173354400.76847045,173354400.76847068,86242516.46261633 
 01/02  08:00:00,185062017.76405759,185062017.7640579,81695925.31632473 
 01/02  09:00:00,173928204.17950208,173928204.17950226,74550496.67712936 
 01/02  10:00:00,142854721.86690829,142854721.86690865,52689304.57330504 
 01/02  11:00:00,131157391.65013711,131157391.65013728,43180236.3321737 
 01/02  12:00:00,122750604.01692838,122750604.01692836,31582990.957640016 
 01/02  13:00:00,119564968.09639065,119564968.0963908,22806028.89633488 
 01/02  14:00:00,110364369.43113137,110364369.43113162,20501728.43561403 
 01/02  15:00:00,102447768.18552238,102447768.18552262,20306637.376810939 
 01/02  16:00:00,111119133.28708819,111119133.2870884,18833179.811702275 
 01/02  17:00:00,141719999.28500594,141719999.28500635,17512953.49057344 
 01/02  18:00:00,190631099.4154676,190631099.41546766,16354997.86865596 
 01/02  19:00:00,212360985.92430694,212360985.92430679,18621272.744437245 
 01/02  20:00:00,191204058.12164415,191204058.1216443,17474705.496035574 
 01/02  21:00:00,194379000.0675997,194379000.0675996,21678916.541449366 
 01/02  22:00:00,158363568.10318548,158363568.10318596,25538331.041085699 
 01/02  23:00:00,138006765.15616093,138006765.1561612,34399458.324975367 
 01/02  24:00:00,97749161.04823442,97749161.04823454,42973776.79846805 
 01/03  01:00:00,79347271.95328687,79347271.95328686,53840606.3736486 
 01/03  02:00:00,59100997.088797997,59100997.08879794,61395553.48809768 
 01/03  03:00:00,66939402.7701611,66939402.770161058,65956581.36972712 
 01/03  04:00:00,63650916.515078898,63650916.51507886,65714743.93134255 
 01/03  05:00:00,67152971.52914833,67152971.52914828,65450143.901421207 
 01/03  06:00:00,100446680.54088646,100446680.54088661,64468138.7998095 
 01/03  07:00:00,173119210.849649,173119210.849649,55775903.85020882 
