Time,CAV_BAS:DesPer 1:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Heat Cap [W],CAV_BAS:DesPer 1:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 1:Des Sens Cool Cap [W],CAV_BAS:DesPer 1:Des Tot Cool Cap [W],CAV_BAS:DesPer 2:Des Heat Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Heat Cap [W],CAV_BAS:DesPer 2:Des Cool Mass Flow [kg/s],CAV_BAS:DesPer 2:Des Sens Cool Cap [W],CAV_BAS:DesPer 2:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_BOT WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_BOT WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_MID WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_MID WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 1:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 1:Des Tot Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Heat Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Cool Mass Flow [kg/s],VAV_TOP WITH REHEAT:DesPer 2:Des Sens Cool Cap [W],VAV_TOP WITH REHEAT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BASEMENT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER BOT:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER BOT:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER MID:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER MID:DesPer 2:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 1:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 1:Des Tot Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Heat Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Cool Mass Flow [kg/s],AIRLOOP DATACENTER TOP:DesPer 2:Des Sens Cool Cap [W],AIRLOOP DATACENTER TOP:DesPer 2:Des Tot Cool Cap [W]
00:10:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.334915E+04,1.444412E+00,1.612974E+04,1.528816E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.386863E+00,2.665408E+04,2.526339E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,1.853388E+01,2.069678E+05,1.961691E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.832860E+00,2.046754E+04,1.939963E+04,4.072624E-01,1.481453E+04,5.849957E+00,7.397860E+04,7.156901E+04,4.072624E-01,6.583461E+03,2.543038E+01,3.616025E+05,3.669725E+05,1.881383E-02,6.843698E+02,1.905004E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.041286E+02,5.420950E-01,7.676789E+03,7.783069E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.041286E+03,5.114813E+00,7.239963E+04,7.339382E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.041286E+02,5.083804E-01,7.195715E+03,7.294440E+03
00:20:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.347833E+04,1.444412E+00,1.600056E+04,1.515702E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.416577E+00,2.676978E+04,2.535848E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,1.889719E+01,2.093348E+05,1.982987E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.832860E+00,2.030362E+04,1.923322E+04,4.072624E-01,1.481453E+04,5.849643E+00,7.397411E+04,7.156445E+04,4.072624E-01,6.619884E+03,2.543195E+01,3.615885E+05,3.669583E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.058112E+02,5.433758E-01,7.693382E+03,7.799923E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.058112E+03,5.127330E+00,7.256139E+04,7.355813E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.058112E+02,5.096298E-01,7.211860E+03,7.310838E+03
00:30:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.360750E+04,1.444412E+00,1.587138E+04,1.502588E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.443515E+00,2.684966E+04,2.541931E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,1.923443E+01,2.113504E+05,2.000912E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.833966E+00,2.015186E+04,1.907832E+04,4.072624E-01,1.481453E+04,5.849319E+00,7.396950E+04,7.155976E+04,4.072624E-01,6.656306E+03,2.543344E+01,3.615733E+05,3.669429E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.074938E+02,5.444592E-01,7.707159E+03,7.813916E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.074938E+03,5.138415E+00,7.270275E+04,7.370171E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.074938E+02,5.107517E-01,7.226186E+03,7.325389E+03
00:40:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.373668E+04,1.444412E+00,1.574221E+04,1.489476E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.467388E+00,2.689131E+04,2.544367E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,1.954768E+01,2.130442E+05,2.015754E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.846845E+00,2.012820E+04,1.904464E+04,4.072624E-01,1.481453E+04,5.848989E+00,7.396479E+04,7.155498E+04,4.072624E-01,6.692729E+03,2.543487E+01,3.615574E+05,3.669267E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.091763E+02,5.453747E-01,7.718539E+03,7.825475E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.091763E+03,5.148223E+00,7.282587E+04,7.382676E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.091763E+02,5.117573E-01,7.238853E+03,7.338255E+03
00:50:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.386586E+04,1.444412E+00,1.561303E+04,1.476361E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.488752E+00,2.690157E+04,2.543801E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,1.983948E+01,2.144502E+05,2.027832E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.876522E+00,2.028382E+04,1.918030E+04,4.072624E-01,1.481453E+04,5.848653E+00,7.395999E+04,7.155011E+04,4.072624E-01,6.729151E+03,2.543626E+01,3.615408E+05,3.669098E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.108589E+02,5.461485E-01,7.727897E+03,7.834980E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.108589E+03,5.156902E+00,7.293289E+04,7.393546E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.108589E+02,5.126585E-01,7.250030E+03,7.349607E+03
01:00:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.399504E+04,1.444412E+00,1.548385E+04,1.463247E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.508066E+00,2.688604E+04,2.540771E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,2.011219E+01,2.155993E+05,2.037445E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.904317E+00,2.041396E+04,1.929149E+04,4.072624E-01,1.481453E+04,5.848312E+00,7.395512E+04,7.154516E+04,4.072624E-01,6.765574E+03,2.543762E+01,3.615238E+05,3.668925E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.125415E+02,5.468035E-01,7.735561E+03,7.842764E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.125415E+03,5.164595E+00,7.302583E+04,7.402986E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.125415E+02,5.134666E-01,7.259877E+03,7.359610E+03
01:10:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.408115E+04,1.444412E+00,1.539773E+04,1.454506E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.531996E+00,2.699161E+04,2.549690E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,2.041881E+01,2.176688E+05,2.056151E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.933933E+00,2.061613E+04,1.947448E+04,4.072624E-01,1.481453E+04,5.848153E+00,7.395285E+04,7.154285E+04,4.072624E-01,6.789855E+03,2.543904E+01,3.615197E+05,3.668884E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.136632E+02,5.473902E-01,7.742812E+03,7.850129E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.136632E+03,5.171731E+00,7.311644E+04,7.412189E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.136632E+02,5.141921E-01,7.269107E+03,7.368985E+03
01:20:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.416727E+04,1.444412E+00,1.531162E+04,1.445762E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.554734E+00,2.708168E+04,2.557122E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,2.071130E+01,2.195520E+05,2.073067E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.962069E+00,2.079909E+04,1.963904E+04,4.072624E-01,1.481453E+04,5.847989E+00,7.395052E+04,7.154049E+04,4.072624E-01,6.814137E+03,2.544043E+01,3.615153E+05,3.668840E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.147849E+02,5.478951E-01,7.748894E+03,7.856307E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.147849E+03,5.178125E+00,7.319646E+04,7.420317E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.147849E+02,5.148449E-01,7.277301E+03,7.377308E+03
01:30:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.425339E+04,1.444412E+00,1.522550E+04,1.437021E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.576428E+00,2.715804E+04,2.563245E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,2.099044E+01,2.212595E+05,2.088304E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,1.988791E+00,2.096378E+04,1.978615E+04,4.072624E-01,1.481453E+04,5.847823E+00,7.394814E+04,7.153808E+04,4.072624E-01,6.838419E+03,2.544181E+01,3.615107E+05,3.668793E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.159066E+02,5.483324E-01,7.754012E+03,7.861506E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.159066E+03,5.183878E+00,7.326733E+04,7.427516E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.159066E+02,5.154340E-01,7.284585E+03,7.384706E+03
01:40:00,1.444412E+00,5.254176E+04,1.444412E+00,0.000000E+00,0.000000E+00,1.444412E+00,2.433951E+04,1.444412E+00,1.513938E+04,1.428278E+04,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.597310E+00,2.722330E+04,2.568297E+04,1.832860E+01,1.657589E+05,1.832860E+01,0.000000E+00,0.000000E+00,1.832860E+01,0.000000E+00,2.125808E+01,2.228133E+05,2.102062E+05,1.832860E+00,1.657589E+04,1.832860E+00,0.000000E+00,0.000000E+00,1.832860E+00,0.000000E+00,2.014288E+00,2.111245E+04,1.991788E+04,4.072624E-01,1.481453E+04,5.847653E+00,7.394573E+04,7.153562E+04,4.072624E-01,6.862700E+03,2.544318E+01,3.615059E+05,3.668744E+05,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.170283E+02,5.487143E-01,7.758340E+03,7.865901E+03,1.881383E-01,6.843698E+03,1.881383E-01,0.000000E+00,0.000000E+00,1.881383E-01,3.170283E+03,5.189083E+00,7.333038E+04,7.433919E+04,1.881383E-02,6.843698E+02,1.881383E-02,0.000000E+00,0.000000E+00,1.881383E-02,3.170283E+02,5.159676E-01,7.291078E+03,7.391300E+03
