Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,127607852.33250949,191568431.0134025 
 01/01  02:00:00,127607852.33250949,191568431.0134025 
 01/01  03:00:00,127607852.33250949,191568431.0134025 
 01/01  04:00:00,127607852.33250949,191568431.0134025 
 01/01  05:00:00,127607852.33250949,191568431.0134025 
 01/01  06:00:00,127607852.33250949,191568431.0134025 
 01/01  07:00:00,127607852.33250949,191568431.0134025 
 01/01  08:00:00,123457898.44311741,191568431.0134025 
 01/01  09:00:00,95755545.67064584,191568431.0134025 
 01/01  10:00:00,89234920.17515525,191568431.0134025 
 01/01  11:00:00,86842845.93464169,191568431.0134025 
 01/01  12:00:00,85116193.57669293,191568431.0134025 
 01/01  13:00:00,84990660.58175215,191568431.0134025 
 01/01  14:00:00,86486168.32873535,191568431.0134025 
 01/01  15:00:00,91831546.9576396,191568431.0134025 
 01/01  16:00:00,98013638.16976528,191568431.0134025 
 01/01  17:00:00,116747654.798236,191568431.0134025 
 01/01  18:00:00,127607852.33250949,191568431.0134025 
 01/01  19:00:00,127607852.33250949,191568431.0134025 
 01/01  20:00:00,127607852.33250949,191568431.0134025 
 01/01  21:00:00,127607852.33250949,191568431.0134025 
 01/01  22:00:00,127607852.33250949,191568431.0134025 
 01/01  23:00:00,127607852.33250949,191568431.0134025 
 01/01  24:00:00,127607852.33250949,191568431.0134025 
 01/02  01:00:00,127607852.33250949,191568431.0134025 
 01/02  02:00:00,127607852.33250949,191568431.0134025 
 01/02  03:00:00,127607852.33250949,191568431.0134025 
 01/02  04:00:00,127607852.33250949,191568431.0134025 
 01/02  05:00:00,127607852.33250949,191568431.0134025 
 01/02  06:00:00,127607852.33250949,191568431.0134025 
 01/02  07:00:00,127607852.33250949,191568431.0134025 
 01/02  08:00:00,637618017.3198893,191568431.0134025 
 01/02  09:00:00,393327927.44908329,555605567.9424728 
 01/02  10:00:00,336919047.380236,555605567.9424728 
 01/02  11:00:00,327551261.3445847,590165395.1424729 
 01/02  12:00:00,311912585.90057787,590165395.1424729 
 01/02  13:00:00,321730735.641149,590165395.1424729 
 01/02  14:00:00,326622360.2675698,555605567.9424728 
 01/02  15:00:00,347501942.1611606,555605567.9424728 
 01/02  16:00:00,383269102.5622821,520918813.68313208 
